mol_id,smiles,pIC50
CHEMBL377772,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@H]4CC(=O)N,6.77
CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CC[C@@H](C4)C(=O)N,7.1
CHEMBL1241391,CC(C)n1nc(c2cncnc2)c3c(N)ncnc13,4.0
CHEMBL1173193,COc1ccc(cc1)C2CC(=NN2C(=S)N)c3ccc(Br)c(Br)c3,5.09
CHEMBL1173455,Cc1ccc(cc1C)C2=NN(C(C2)c3ccc(F)cc3)C(=S)N,6.08
CHEMBL379041,Fc1ccc2Oc3ncnc(NCc4ccccc4)c3NCc2c1,5.05
CHEMBL121405,OC1(CCNCC1)c2oc(c3ccnc(NC4CCCCC4)c3)c(n2)c5ccc(F)cc5,5.7
CHEMBL205966,Nc1ccc(cc1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.52
CHEMBL208286,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(=O)N,7.52
CHEMBL379601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(=O)N,7.35
CHEMBL207674,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCOCC4C(=O)N,7.05
CHEMBL1080506,Cc1c([nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12)C(=O)NCCN5CCOCC5,4.9
CHEMBL1080990,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5.92
CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,4.11
CHEMBL94123,Brc1cccc(Nc2ncnc3ccc(NC(=O)\C=C\N4CCOCC4)cc23)c1,6.67
CHEMBL1090357,CN(C)CCc1ccc(Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)c6c(F)cccc6F)c5)cc1,6.66
CHEMBL1241487,Nc1ccc(cc1O)c2nn(C3CCCC3)c4ncnc(N)c24,7.48
CHEMBL1241581,COc1cc(ccc1N)c2nn(C3CCCC3)c4ncnc(N)c24,7.08
CHEMBL1242848,CC(C)n1nc(c2ccc(N)c(O)c2)c3c(N)ncnc13,5.67
CHEMBL1242566,Nc1ncnc2c1c(nn2C3CCC3)c4ccc(F)c(O)c4,5.54
CHEMBL1241683,CC(C)n1nc(c2ccc3nc(Cl)ccc3c2)c4c(N)ncnc14,4.0
CHEMBL1241774,CC(C)n1nc(c2ccc3nccnc3c2)c4c(N)ncnc14,4.75
CHEMBL1173601,NC(=S)N1N=C(CC1c2ccccc2Br)c3ccc(Cl)c(Cl)c3,5.19
CHEMBL1173666,NC(=S)N1N=C(CC1c2ccc(cc2)[N+](=O)[O-])c3ccc(Cl)c(Cl)c3,5.11
CHEMBL1173813,Cc1ccc(cc1)C2CC(=NN2C(=S)N)c3ccc(C)c(C)c3,6.47
CHEMBL1241485,COc1cc(ccc1N)c2nn(C(C)C)c3ncnc(N)c23,5.42
CHEMBL1241588,CC(C)n1nc(c2ccc3OCCOc3c2)c4c(N)ncnc14,4.82
